,2023-06-13 19:45:00,2023-06-13 19:30:00,2023-06-13 19:15:00,2023-06-13 19:00:00,2023-06-13 18:45:00,2023-06-13 18:15:00,2023-06-13 18:00:00,2023-06-13 17:45:00,2023-06-13 17:30:00,2023-06-13 17:15:00,2023-06-13 17:00:00,2023-06-13 16:45:00,2023-06-13 16:30:00,2023-06-13 16:15:00,2023-06-13 16:00:00,2023-06-13 15:45:00,2023-06-13 15:30:00,2023-06-13 15:15:00,2023-06-13 15:00:00,2023-06-13 14:45:00,2023-06-13 14:30:00,2023-06-13 14:15:00,2023-06-13 14:00:00,2023-06-13 13:45:00,2023-06-13 13:30:00,2023-06-13 13:15:00,2023-06-13 13:00:00,2023-06-13 12:45:00,2023-06-13 12:30:00,2023-06-13 12:15:00,2023-06-13 12:00:00,2023-06-13 11:45:00,2023-06-13 11:30:00,2023-06-13 11:15:00,2023-06-13 11:00:00,2023-06-13 10:45:00,2023-06-13 10:30:00,2023-06-13 10:15:00,2023-06-13 10:00:00,2023-06-13 09:45:00,2023-06-13 09:30:00,2023-06-13 09:15:00,2023-06-13 09:00:00,2023-06-13 08:45:00,2023-06-13 08:30:00,2023-06-13 08:15:00,2023-06-13 08:00:00,2023-06-13 07:45:00,2023-06-13 07:30:00,2023-06-13 07:15:00,2023-06-13 07:00:00,2023-06-13 06:45:00,2023-06-13 06:30:00,2023-06-13 06:15:00,2023-06-13 05:45:00,2023-06-13 05:30:00,2023-06-13 05:15:00,2023-06-13 04:45:00,2023-06-13 04:15:00,2023-06-13 04:00:00,2023-06-12 19:45:00,2023-06-12 19:30:00,2023-06-12 19:15:00,2023-06-12 19:00:00,2023-06-12 18:45:00,2023-06-12 18:30:00,2023-06-12 18:15:00,2023-06-12 18:00:00,2023-06-12 17:30:00,2023-06-12 17:15:00,2023-06-12 17:00:00,2023-06-12 16:45:00,2023-06-12 16:30:00,2023-06-12 16:15:00,2023-06-12 16:00:00,2023-06-12 15:45:00,2023-06-12 15:30:00,2023-06-12 15:15:00,2023-06-12 15:00:00,2023-06-12 14:45:00,2023-06-12 14:30:00,2023-06-12 14:15:00,2023-06-12 14:00:00,2023-06-12 13:45:00,2023-06-12 13:30:00,2023-06-12 13:15:00,2023-06-12 13:00:00,2023-06-12 12:45:00,2023-06-12 12:30:00,2023-06-12 12:15:00,2023-06-12 12:00:00,2023-06-12 11:45:00,2023-06-12 11:30:00,2023-06-12 11:15:00,2023-06-12 11:00:00,2023-06-12 10:45:00,2023-06-12 10:30:00,2023-06-12 10:15:00,2023-06-12 10:00:00,2023-06-12 09:45:00
1. open,271.3200,271.5400,271.3400,271.3600,271.4100,271.3357,271.7100,271.6500,271.7700,271.6500,271.3200,271.5800,271.2200,271.1400,271.3200,270.9100,270.8400,270.9050,270.5400,269.5100,270.0400,270.3539,270.8500,271.4929,271.7100,271.8350,272.0800,272.0500,271.5200,272.2400,271.7319,272.5550,273.4800,273.6500,273.5300,273.4365,271.6300,271.3500,272.0100,273.7700,274.8800,274.3900,274.4600,274.0800,273.4000,272.5300,272.9500,272.2000,272.7100,272.5000,272.7100,272.4700,272.4900,272.5100,272.7500,273.0700,273.0800,273.2000,272.7200,272.3600,271.7500,271.4100,271.4500,271.6400,271.4800,271.3100,271.3000,271.3500,271.1500,271.4000,271.4000,271.4000,271.2400,271.3800,271.0500,270.6450,270.9400,271.4500,269.8650,268.9600,269.2400,269.3026,269.9000,269.1400,268.8600,268.8500,269.2500,268.8600,268.9911,268.9250,268.9900,268.6292,268.1500,268.0999,268.3200,268.4699,268.4950,267.9675,267.7650,267.5542
2. high,271.4900,271.6500,271.4000,271.3900,271.4500,271.6800,271.7500,271.7019,271.7700,271.8900,271.5000,271.7000,271.5500,271.1800,271.3400,271.4500,271.3400,271.4800,271.0300,270.8100,270.0400,270.8000,270.9000,271.5400,272.0300,272.4200,272.3300,272.1700,272.1700,272.3100,272.2250,272.6800,273.5000,273.6900,273.9150,274.9000,273.5500,272.7000,272.5198,273.8450,275.7200,274.9500,275.0600,274.2700,274.2300,273.5400,274.0500,272.2900,272.7100,272.8000,273.0000,272.6000,272.4900,272.5100,272.8100,273.0700,273.0800,273.2000,273.0000,272.9800,272.0000,271.8700,271.6900,271.6500,271.6500,271.4000,271.3200,271.3900,271.4400,271.4300,271.4000,271.4000,271.4300,271.3800,271.4200,271.4200,271.1650,271.6500,271.7500,270.0600,269.4900,269.4699,270.1000,269.9000,269.2000,268.9600,269.3000,269.5000,269.0300,269.0960,269.0400,269.0500,268.8297,268.3050,268.3800,269.1000,268.5800,268.7000,268.1900,269.1900
3. low,271.3200,271.3300,271.3300,271.3600,271.3300,271.3357,271.3300,271.6500,271.6900,271.5200,271.2600,271.4301,271.2200,271.0200,270.8700,270.7900,270.6900,270.5900,270.3600,269.0923,269.1700,269.5100,269.5200,270.7432,271.3200,271.5850,271.5200,271.5100,271.4607,270.8200,271.4400,271.7300,272.3200,273.0000,272.9389,273.1000,271.1800,271.1100,271.0800,271.5700,273.5500,273.4200,274.3999,273.7500,272.0000,272.2500,272.1000,272.0500,272.2600,272.5000,272.2500,272.3000,272.4900,272.5100,272.7500,272.7500,273.0700,273.0700,272.0300,272.3600,271.6500,271.4100,271.4100,271.4200,271.4800,271.3100,271.3000,271.3200,271.1500,271.3500,271.0500,271.3400,271.2400,271.2200,270.9800,270.4600,270.6700,270.3188,269.6600,268.7900,268.7900,269.1200,269.1600,269.1250,268.7301,268.5500,268.7000,268.6400,268.6500,268.5900,268.6950,268.3600,268.1400,267.8100,267.5894,268.0500,267.8901,267.3000,267.1061,267.5100
4. close,271.3200,271.3300,271.4000,271.3800,271.3300,271.4500,271.4400,271.7000,271.6900,271.5795,271.5000,271.5300,271.5500,271.0800,271.3200,271.3200,270.9450,270.8300,270.8467,270.4800,269.5500,270.0200,270.3500,270.8600,271.4900,271.7028,271.8200,272.0400,272.0791,271.5000,272.2210,271.7416,272.5900,273.4700,273.6101,273.5550,273.4367,271.6636,271.3900,271.9600,273.7700,274.9200,274.4400,274.2500,273.9000,273.5400,272.5400,272.1400,272.2600,272.7500,272.5000,272.6000,272.4900,272.5100,272.8100,272.7500,273.0700,273.0700,273.0000,272.8600,271.7000,271.7700,271.4100,271.4500,271.6500,271.3100,271.3105,271.3200,271.4000,271.4000,271.0500,271.3500,271.4300,271.2900,271.3800,271.0800,270.6900,270.9600,271.4450,269.8600,268.9700,269.2074,269.2800,269.9000,269.1150,268.8300,268.8500,269.2400,268.8700,268.9910,268.9699,268.9800,268.6200,268.1301,268.0817,268.2600,268.4400,268.4950,267.9703,267.7650
5. volume,4762,7419,2192,486,2898,892,8911,1116,2079,12952,16843,3338,6189,3809,288112,762386,332071,337149,269807,450863,437684,462690,807803,322828,251350,202170,380111,485256,261769,635900,439746,390867,357714,385744,451644,553750,685870,682295,802419,956937,1753890,84267,86988,68296,94770,39451,27518,3195,8976,10162,12856,1214,701,317,502,4697,829,391,3925,1817,3952,4401,1051,4298,1596,969,3089,1553,1698,3169,24600,2622,5446,4921,429128,1248748,452662,531775,955954,466959,267278,174345,373343,332680,186329,225643,331102,441218,250876,234603,364131,329988,422582,394822,330948,699914,482528,738112,543068,979809
