datetime,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,mavg,ret_dev
2012-08-17,20.005,20.08,19.0,19.05,19.05,129293400.0,0.0,1.0,None,-0.0412682435832914
2012-08-20,19.05,20.13,18.75,20.011,20.011,101186600.0,0.0,1.0,None,0.05044619422572172
2012-08-21,19.58,19.98,19.09,19.159,19.159,70640600.0,0.0,1.0,None,-0.04257658287941635
2012-08-22,19.36,19.53,18.96,19.439,19.439,49892200.0,0.0,1.0,None,0.01461454146876151
2012-08-23,19.5,19.73,19.36,19.44,19.44,32813700.0,0.0,1.0,None,5.144297546166854e-05
2012-08-24,19.52,19.68,19.25,19.409,19.409,29622200.0,0.0,1.0,None,-0.0015946502057614387
2012-08-27,19.49,19.53,19.1,19.15,19.15,20704000.0,0.0,1.0,None,-0.013344324797774254
2012-08-28,19.1,19.38,18.95,19.34,19.34,25417000.0,0.0,1.0,None,0.00992167101827679
2012-08-29,19.32,19.38,19.07,19.1,19.1,16124700.0,0.0,1.0,None,-0.012409513960703111
2012-08-30,19.27,19.45,19.06,19.0885,19.0885,30647500.0,0.0,1.0,None,-0.0006020942408377916
2012-08-31,18.68,18.7,18.03,18.058,18.058,58764200.0,0.0,1.0,None,-0.053985383869869286
2012-09-04,18.08,18.27,17.55,17.729,17.729,46622400.0,0.0,1.0,None,-0.01821907187949945
2012-09-05,18.27,18.75,18.18,18.58,18.58,60781800.0,0.0,1.0,None,0.048000451238084496
2012-09-06,18.74,19.2617,18.72,18.96,18.96,46066500.0,0.0,1.0,None,0.020452099031216475
2012-09-07,19.1,19.42,18.78,18.98,18.98,36371700.0,0.0,1.0,None,0.001054852320675037
2012-09-10,19.06,19.2,18.55,18.81,18.81,24797800.0,0.0,1.0,None,-0.008956796628029617
2012-09-11,18.92,19.581,18.85,19.43,19.43,50508200.0,0.0,1.0,None,0.03296119085592775
2012-09-12,20.76,21.16,20.28,20.931,20.931,121584000.0,0.0,1.0,None,0.0772516726711272
2012-09-13,20.955,21.48,20.61,20.713,20.713,65041600.0,0.0,1.0,None,-0.010415173665854427
2012-09-14,21.13,22.08,20.9,22.0,22.0,72819800.0,0.0,1.0,None,0.06213489113117365
2012-09-17,22.67,22.75,21.5,21.52,21.52,50667600.0,0.0,1.0,None,-0.021818181818181848
2012-09-18,21.6,21.98,21.37,21.87,21.87,36760500.0,0.0,1.0,None,0.016263940520446107
2012-09-19,21.99,23.37,21.77,23.29,23.29,78782800.0,0.0,1.0,None,0.0649291266575216
2012-09-20,23.02,23.24,22.54,22.59,22.59,57248900.0,0.0,1.0,None,-0.030055817947617025
2012-09-21,22.97,23.24,22.6,22.86,22.86,51218100.0,0.0,1.0,None,0.01195219123505975
2012-09-24,21.78,21.98,20.3625,20.79,20.79,79106500.0,0.0,1.0,None,-0.09055118110236227
2012-09-25,21.2,21.21,20.22,20.28,20.28,46291700.0,0.0,1.0,None,-0.024531024531024404
2012-09-26,20.145,20.78,19.8,20.62,20.62,38271900.0,0.0,1.0,None,0.0167652859960552
2012-09-27,20.99,21.0,20.16,20.32,20.32,30215900.0,0.0,1.0,None,-0.014548981571290032
2012-09-28,20.57,21.95,20.5,21.66,21.66,65486000.0,0.0,1.0,None,0.06594488188976366
2012-10-01,22.08,22.59,21.73,21.99,21.99,51262700.0,0.0,1.0,None,0.015235457063711877
2012-10-02,22.08,22.49,21.82,22.27,22.27,29341400.0,0.0,1.0,None,0.012733060482037262
2012-10-03,22.295,22.49,21.8,21.83,21.83,32000100.0,0.0,1.0,None,-0.019757521329142436
2012-10-04,22.32,22.4,21.41,21.9475,21.9475,46892100.0,0.0,1.0,None,0.005382501145213103
2012-10-05,21.49,21.63,20.88,20.91,20.91,40529300.0,0.0,1.0,None,-0.047271898849527316
2012-10-08,20.4,20.75,20.155,20.4,20.4,32236700.0,0.0,1.0,None,-0.024390243902439046
2012-10-09,20.39,20.55,19.97,20.227,20.227,27161800.0,0.0,1.0,25.176308,-0.008480392156862693
2012-10-10,19.93,19.94,19.45,19.64,19.64,39321800.0,0.0,1.0,24.990389999999998,-0.029020616008305744
2012-10-11,19.88,19.96,19.61,19.75,19.75,21817300.0,0.0,1.0,24.847589999999997,0.005600814663951015
2012-10-12,19.75,19.8,19.48,19.5181,19.5181,18809400.0,0.0,1.0,24.732771,-0.011741772151898755
2012-10-15,19.68,19.88,19.49,19.52,19.52,20189700.0,0.0,1.0,24.607971,9.734554080575997e-05
2012-10-16,19.68,19.69,19.3,19.48,19.48,21834700.0,0.0,1.0,24.472471,-0.002049180327868827
2012-10-17,19.5,20.48,19.3718,19.88,19.88,44074500.0,0.0,1.0,24.352171000000002,0.02053388090349073
2012-10-18,19.7,19.79,18.89,18.975,18.975,52157400.0,0.0,1.0,24.253521,-0.045523138832997856
2012-10-19,19.0,19.06,18.8,19.0,19.0,34835000.0,0.0,1.0,24.161621,0.0013175230566533358
2012-10-22,19.25,19.43,19.05,19.321,19.321,32447300.0,0.0,1.0,24.058831,0.016894736842105296
2012-10-23,19.25,19.8,19.1,19.5,19.5,78381200.0,0.0,1.0,23.976630999999998,0.009264530821385897
2012-10-24,24.13,24.25,22.85,23.2299,23.2299,228949900.0,0.0,1.0,23.939930000000004,0.19127692307692312
2012-10-25,23.29,23.31,22.47,22.56,22.56,76142000.0,0.0,1.0,23.906840000000003,-0.028837833998424545
2012-10-26,22.4,22.88,21.88,21.9425,21.9425,73175800.0,0.0,1.0,23.858165,-0.027371453900709164
2012-10-31,20.82,21.5,20.73,21.11,21.11,99378200.0,0.0,1.0,23.806165,-0.03794007063917049
2012-11-01,21.08,21.44,21.01,21.21,21.21,37713900.0,0.0,1.0,23.747265,0.004737091425864648
2012-11-02,21.26,21.69,21.07,21.18,21.18,38344400.0,0.0,1.0,23.689014999999998,-0.0014144271570014633
2012-11-05,21.1,21.48,20.92,21.25,21.25,31806700.0,0.0,1.0,23.627515,0.003305004721435356
2012-11-06,21.24,21.37,20.99,21.1712,21.1712,29062700.0,0.0,1.0,23.566527,-0.003708235294117679
2012-11-07,20.85,20.95,20.37,20.47,20.47,33396800.0,0.0,1.0,23.488326999999998,-0.03312046553808945
2012-11-08,20.52,20.73,19.98,19.99,19.99,34254600.0,0.0,1.0,23.388087,-0.02344894968246214
2012-11-09,19.955,20.0,19.13,19.21,19.21,42295500.0,0.0,1.0,23.266087000000002,-0.039019509754877335
2012-11-12,19.15,20.17,18.87,20.07,20.07,67349200.0,0.0,1.0,23.147676999999998,0.04476834981780309
2012-11-13,19.605,20.11,19.56,19.86,19.86,71775100.0,0.0,1.0,23.030277,-0.010463378176382654
