datetime,open,high,low,close,volume
2023-06-06 16:00:00,271.12,271.33,271.05,271.2898,570985.0
2023-06-06 17:00:00,271.3,271.4501,271.1516,271.4099,9658.0
2023-06-06 18:00:00,271.1502,271.3855,271.0,271.3855,11387.0
2023-06-06 19:00:00,271.0,271.72,270.97,271.69,9395.0
2023-06-07 04:00:00,270.65,270.86,270.1,270.1,1784.0
2023-06-07 05:00:00,270.86,270.86,270.7,270.8,909.0
2023-06-07 06:00:00,270.97,270.97,270.63,270.84,1999.0
2023-06-07 07:00:00,270.72,271.69,269.61,271.54,96813.0
2023-06-07 08:00:00,270.98,272.07,269.61,270.65,139463.0
2023-06-07 09:00:00,270.75,274.25,270.44,272.61,3276458.0
2023-06-07 10:00:00,272.64,272.97,269.41,270.27,4187766.0
2023-06-07 11:00:00,270.18,270.86,268.48,268.5921,2725445.0
2023-06-07 12:00:00,268.6,269.11,267.02,267.82,2284176.0
2023-06-07 13:00:00,267.83,268.5,266.09,266.46,2198580.0
2023-06-07 14:00:00,266.4599,267.45,264.65,265.46,2175453.0
2023-06-07 15:00:00,265.47,265.96,262.8,263.63,4122633.0
2023-06-07 16:00:00,263.6,263.65,261.79,262.2,1049127.0
2023-06-07 17:00:00,262.02,263.6,261.68,262.2,43783.0
2023-06-07 18:00:00,262.35,262.7,261.69,261.9786,15627.0
2023-06-07 19:00:00,261.95,262.74,261.83,262.74,8239.0
2023-06-08 04:00:00,261.58,262.15,260.51,261.09,20351.0
2023-06-08 05:00:00,261.48,262.02,261.48,262.02,2169.0
2023-06-08 06:00:00,261.89,261.99,261.44,261.44,6190.0
2023-06-08 07:00:00,261.44,261.98,261.12,261.54,28407.0
2023-06-08 08:00:00,261.62,263.27,260.31,262.54,128003.0
2023-06-08 09:00:00,262.64,262.88,258.88,261.27,3721432.0
2023-06-08 10:00:00,261.33,265.785,259.98,265.7595,4006903.0
2023-06-08 11:00:00,265.78,267.6,265.6501,266.53,2972548.0
2023-06-08 12:00:00,266.51,267.65,266.152,267.16,1842648.0
2023-06-08 13:00:00,267.14,267.5999,264.75,265.53,1628758.0
2023-06-08 14:00:00,265.57,265.7063,264.6,264.8624,1507240.0
2023-06-08 15:00:00,264.89,265.74,263.89,264.55,2979571.0
2023-06-08 16:00:00,264.58,264.67,263.9,263.95,506815.0
2023-06-08 17:00:00,263.8387,264.58,263.8311,264.25,10231.0
2023-06-08 18:00:00,264.3,264.49,264.07,264.41,4509.0
2023-06-08 19:00:00,264.16,264.16,263.0,263.12,16194.0
2023-06-09 04:00:00,263.5,263.5,263.11,263.2,7508.0
2023-06-09 05:00:00,263.17,263.65,263.0,263.0,3739.0
2023-06-09 06:00:00,262.75,262.96,262.46,262.6,14927.0
2023-06-09 07:00:00,262.82,263.0,262.31,262.92,35409.0
2023-06-09 08:00:00,262.85,264.3,262.5,262.9,71745.0
2023-06-09 09:00:00,263.04,264.91,261.7,264.585,3002236.0
2023-06-09 10:00:00,264.65,267.949,264.23,265.49,4058426.0
2023-06-09 11:00:00,265.5246,266.97,265.06,265.15,1917620.0
2023-06-09 12:00:00,265.11,265.3799,263.79,265.09,1682845.0
2023-06-09 13:00:00,265.06,266.35,264.71,265.795,1071230.0
2023-06-09 14:00:00,265.78,265.9099,264.38,264.72,1128290.0
2023-06-09 15:00:00,264.74,265.09,264.15,264.95,2000196.0
2023-06-09 16:00:00,264.95,265.4185,264.64,265.01,483132.0
2023-06-09 17:00:00,264.95,265.12,264.9,264.97,41198.0
2023-06-09 18:00:00,265.02,265.02,264.51,264.6,4346.0
2023-06-09 19:00:00,264.87,264.9999,264.61,264.95,4851.0
2023-06-12 04:00:00,264.95,267.0,264.95,266.59,3979.0
2023-06-12 05:00:00,266.58,266.7,266.39,266.42,6660.0
2023-06-12 06:00:00,266.39,266.49,266.39,266.39,14090.0
2023-06-12 07:00:00,266.42,266.95,266.39,266.65,25347.0
2023-06-12 08:00:00,266.48,267.17,265.9,266.9,77294.0
2023-06-12 09:00:00,266.9,269.19,265.33,267.765,2317531.0
2023-06-12 10:00:00,267.765,269.1,267.1061,268.26,2463622.0
2023-06-12 11:00:00,268.32,269.05,267.5894,268.98,1478340.0
2023-06-12 12:00:00,268.99,269.5,268.59,269.24,1290828.0
2023-06-12 13:00:00,269.25,269.9,268.55,269.9,1075754.0
2023-06-12 14:00:00,269.9,270.1,268.79,269.86,1281925.0
2023-06-12 15:00:00,269.865,271.75,269.66,271.08,3189139.0
2023-06-12 16:00:00,271.05,271.43,270.98,271.35,442117.0
2023-06-12 17:00:00,271.4,271.44,271.05,271.4,29467.0
2023-06-12 18:00:00,271.35,271.65,271.3,271.65,7207.0
2023-06-12 19:00:00,271.64,272.0,271.41,271.7,13702.0
2023-06-13 04:00:00,272.36,273.2,272.03,273.07,6133.0
2023-06-13 05:00:00,273.08,273.08,272.75,272.81,6028.0
2023-06-13 06:00:00,272.51,272.6,272.3,272.6,2232.0
2023-06-13 07:00:00,272.71,273.0,272.05,272.14,35189.0
2023-06-13 08:00:00,272.95,274.27,272.0,274.25,230035.0
2023-06-13 09:00:00,274.46,275.72,271.57,271.96,2882082.0
2023-06-13 10:00:00,272.01,274.9,271.08,273.555,2724334.0
2023-06-13 11:00:00,273.53,273.915,271.73,271.7416,1585969.0
2023-06-13 12:00:00,271.7319,272.31,270.82,272.04,1822671.0
2023-06-13 13:00:00,272.08,272.42,270.7432,270.86,1156459.0
2023-06-13 14:00:00,270.85,270.9,269.0923,270.48,2159040.0
2023-06-13 15:00:00,270.54,271.48,270.36,271.32,1701413.0
2023-06-13 16:00:00,271.32,271.7,270.87,271.53,301448.0
2023-06-13 17:00:00,271.32,271.89,271.26,271.7,32990.0
2023-06-13 18:00:00,271.71,271.75,271.33,271.33,12701.0
2023-06-13 19:00:00,271.36,271.65,271.32,271.32,14859.0
2023-06-14 04:00:00,272.07,272.62,272.0,272.04,5553.0
2023-06-14 05:00:00,272.03,272.42,271.88,272.12,3524.0
2023-06-14 06:00:00,272.15,272.36,271.4,271.44,7119.0
2023-06-14 07:00:00,271.85,272.38,271.64,271.75,35073.0
2023-06-14 08:00:00,272.0,272.8,270.7,271.6515,63641.0
2023-06-14 09:00:00,271.91,273.78,270.54,273.685,1946192.0
2023-06-14 10:00:00,273.7,274.99,272.96,272.995,2846085.0
2023-06-14 11:00:00,273.0,274.115,271.8115,272.16,1435933.0
2023-06-14 12:00:00,272.14,272.7942,271.4,272.17,1185390.0
2023-06-14 13:00:00,272.16,272.19,270.86,271.395,1124985.0
2023-06-14 14:00:00,271.34,272.36,268.315,271.39,2850030.0
2023-06-14 15:00:00,271.42,273.4,270.47,273.38,2784766.0
2023-06-14 16:00:00,273.35,273.99,272.81,273.79,1273487.0
2023-06-14 17:00:00,273.84,274.09,273.35,274.09,47630.0
2023-06-14 18:00:00,274.1,274.19,273.95,274.18,12682.0
2023-06-14 19:00:00,274.17,274.5,273.92,274.47,18770.0
