datetime,open,high,low,close,volume
2023-06-13 04:00:00,182.76,182.87,182.01,182.53,72570.0
2023-06-13 05:00:00,182.53,182.53,182.15,182.26,77884.0
2023-06-13 06:00:00,182.17,182.35,182.13,182.2,47372.0
2023-06-13 07:00:00,182.25,182.75,182.15,182.29,188253.0
2023-06-13 08:00:00,182.2485,183.75,182.17,183.07,871334.0
2023-06-13 09:00:00,183.07,184.15,182.65,183.22,9785713.0
2023-06-13 10:00:00,183.26,183.63,182.46,182.95,8199750.0
2023-06-13 11:00:00,182.95,183.7505,182.82,183.12,5551711.0
2023-06-13 12:00:00,183.12,183.53,182.9601,183.46,4208301.0
2023-06-13 13:00:00,183.465,183.55,182.76,183.0199,5156219.0
2023-06-13 14:00:00,183.02,183.09,182.44,182.92,5718441.0
2023-06-13 15:00:00,182.9197,183.38,182.68,183.32,6555794.0
2023-06-13 16:00:00,183.3,183.34,183.17,183.21,3174829.0
2023-06-13 17:00:00,183.22,183.31,183.2,183.23,42935.0
2023-06-13 18:00:00,183.22,183.28,183.2,183.26,22639.0
2023-06-13 19:00:00,183.26,183.26,183.05,183.0799,41720.0
2023-06-14 04:00:00,183.31,183.62,183.26,183.55,18202.0
2023-06-14 05:00:00,183.45,183.53,183.25,183.36,13094.0
2023-06-14 06:00:00,183.37,183.4,183.29,183.34,9672.0
2023-06-14 07:00:00,183.3,183.4,183.25,183.35,34375.0
2023-06-14 08:00:00,183.32,183.55,182.81,183.3,201650.0
2023-06-14 09:00:00,183.27,184.03,182.91,183.91,6281213.0
2023-06-14 10:00:00,183.91,184.335,183.68,183.78,8349919.0
2023-06-14 11:00:00,183.7809,184.39,183.52,184.09,4807065.0
2023-06-14 12:00:00,184.09,184.25,183.84,184.09,2969980.0
2023-06-14 13:00:00,184.09,184.09,183.51,183.71,3387278.0
2023-06-14 14:00:00,183.71,184.13,182.02,183.56,10634723.0
2023-06-14 15:00:00,183.59,184.205,182.95,183.96,10054258.0
2023-06-14 16:00:00,183.94,184.25,183.86,184.08,3327983.0
2023-06-14 17:00:00,184.15,184.15,183.95,184.05,781306.0
2023-06-14 18:00:00,184.06,184.11,184.0,184.03,23246.0
2023-06-14 19:00:00,184.0,184.0001,183.82,183.88,19704.0
