datetime,open,high,low,close,volume
2023-06-06 16:00:00,127.88,128.12,127.7,127.95,1507033.0
2023-06-06 17:00:00,128.03,128.03,127.87,127.9037,5309.0
2023-06-06 18:00:00,127.9,127.95,127.61,127.61,13358.0
2023-06-06 19:00:00,127.61,127.84,127.6,127.82,10919.0
2023-06-07 04:00:00,127.91,127.91,127.26,127.5,2545.0
2023-06-07 05:00:00,127.39,127.6,127.39,127.6,1915.0
2023-06-07 06:00:00,127.5,127.6,127.49,127.57,5285.0
2023-06-07 07:00:00,127.61,127.75,127.34,127.75,17186.0
2023-06-07 08:00:00,127.59,128.09,127.42,127.75,69175.0
2023-06-07 09:00:00,127.7,129.55,127.38,128.2,3355304.0
2023-06-07 10:00:00,128.21,128.39,124.68,124.8343,4435144.0
2023-06-07 11:00:00,124.83,125.29,123.64,123.69,5072688.0
2023-06-07 12:00:00,123.71,124.41,123.12,123.21,3457579.0
2023-06-07 13:00:00,123.29,123.45,122.65,123.26,2260632.0
2023-06-07 14:00:00,123.26,123.6049,122.8,123.14,1904931.0
2023-06-07 15:00:00,123.14,123.3699,122.63,122.97,5115100.0
2023-06-07 16:00:00,122.94,123.19,122.75,122.88,1715103.0
2023-06-07 17:00:00,122.75,123.08,122.75,123.0,169475.0
2023-06-07 18:00:00,122.93,123.03,122.82,122.85,11751.0
2023-06-07 19:00:00,122.87,123.06,122.85,122.94,15401.0
2023-06-08 04:00:00,122.88,123.18,122.6,123.03,12651.0
2023-06-08 05:00:00,123.23,123.26,123.09,123.23,3373.0
2023-06-08 06:00:00,123.12,123.26,123.0,123.0,13766.0
2023-06-08 07:00:00,123.01,123.12,122.7,122.85,16100.0
2023-06-08 08:00:00,123.14,123.42,122.02,123.35,109536.0
2023-06-08 09:00:00,123.4,123.45,122.01,122.42,3825275.0
2023-06-08 10:00:00,122.42,123.1,122.04,122.93,3631920.0
2023-06-08 11:00:00,122.94,123.71,122.825,123.525,2840048.0
2023-06-08 12:00:00,123.53,123.73,122.94,123.06,1931136.0
2023-06-08 13:00:00,123.06,123.23,122.36,122.62,2004860.0
2023-06-08 14:00:00,122.625,122.835,122.47,122.5698,1808984.0
2023-06-08 15:00:00,122.565,122.86,122.47,122.66,5154547.0
2023-06-08 16:00:00,122.67,122.9,122.46,122.58,518258.0
2023-06-08 17:00:00,122.67,122.8,122.56,122.65,159149.0
2023-06-08 18:00:00,122.76,122.76,122.5,122.51,20310.0
2023-06-08 19:00:00,122.51,122.51,122.18,122.23,18774.0
2023-06-09 04:00:00,122.53,122.77,122.01,122.34,18625.0
2023-06-09 05:00:00,122.24,122.36,122.09,122.15,8259.0
2023-06-09 06:00:00,122.2,122.36,122.12,122.2,4441.0
2023-06-09 07:00:00,122.22,122.37,122.1,122.31,20622.0
2023-06-09 08:00:00,122.21,123.63,122.14,123.3,104731.0
2023-06-09 09:00:00,123.23,124.1,122.4,124.04,3229031.0
2023-06-09 10:00:00,124.045,124.285,123.15,123.46,3901537.0
2023-06-09 11:00:00,123.47,124.05,122.89,122.93,1958359.0
2023-06-09 12:00:00,122.93,123.089,122.495,123.02,1594025.0
2023-06-09 13:00:00,123.02,123.835,122.95,123.69,1413373.0
2023-06-09 14:00:00,123.7,123.7086,123.2989,123.5,1242381.0
2023-06-09 15:00:00,123.5,123.5283,122.67,122.88,3419082.0
2023-06-09 16:00:00,122.87,123.14,122.71,123.07,870586.0
2023-06-09 17:00:00,123.01,123.01,122.9,122.9,9085.0
2023-06-09 18:00:00,122.98,123.0,122.87,122.87,2287.0
2023-06-09 19:00:00,122.83,122.9,122.77,122.85,5890.0
2023-06-12 04:00:00,123.45,123.73,123.45,123.71,9152.0
2023-06-12 05:00:00,123.73,123.73,123.37,123.41,836.0
2023-06-12 06:00:00,123.41,123.55,123.15,123.2,9380.0
2023-06-12 07:00:00,123.3,123.8,123.3,123.65,28086.0
2023-06-12 08:00:00,123.26,123.92,123.2101,123.8,65110.0
2023-06-12 09:00:00,123.84,123.84,122.6569,122.88,3110934.0
2023-06-12 10:00:00,122.89,123.1,122.35,122.85,3210301.0
2023-06-12 11:00:00,122.85,123.2,122.67,123.0924,1902921.0
2023-06-12 12:00:00,123.095,123.31,122.75,123.19,1875358.0
2023-06-12 13:00:00,123.19,123.79,123.05,123.79,1508779.0
2023-06-12 14:00:00,123.78,124.45,123.6925,124.39,1705799.0
2023-06-12 15:00:00,124.4,124.75,124.05,124.4,4107922.0
2023-06-12 16:00:00,124.37,124.658,124.22,124.56,1150126.0
2023-06-12 17:00:00,124.5,124.54,124.3,124.47,90456.0
2023-06-12 18:00:00,124.41,124.64,124.4,124.6,16096.0
2023-06-12 19:00:00,124.6,124.77,124.5,124.57,16312.0
2023-06-13 04:00:00,124.82,125.48,124.82,125.28,18283.0
2023-06-13 05:00:00,125.13,125.26,124.86,125.2,7901.0
2023-06-13 06:00:00,124.93,124.93,124.57,124.73,7626.0
2023-06-13 07:00:00,124.81,125.01,124.5,124.57,29358.0
2023-06-13 08:00:00,124.9925,125.5,124.25,125.27,167318.0
2023-06-13 09:00:00,125.28,125.86,124.72,125.06,3173439.0
2023-06-13 10:00:00,125.06,125.2885,124.302,124.665,2765053.0
2023-06-13 11:00:00,124.665,125.17,124.345,124.71,2044193.0
2023-06-13 12:00:00,124.7,124.99,124.4901,124.795,1304130.0
2023-06-13 13:00:00,124.8,124.915,124.3925,124.49,1377221.0
